ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1000288645783962,English,English,agree,false
1000838749475246,English,English,agree,false
1001345232259119,English,English,agree,false
1002523858919101,English,,copy_only,false
1003179348710919,English,English,agree,false
1005206305387671,English,English,agree,false
1007115604994768,English,,copy_only,false
1007487788399464,English,,copy_only,false
1008277438210393,English,English,agree,false
1017222057530962,English,English,agree,false
1017236537527668,English,English,agree,false
1018315570618531,English,English,agree,false
1024110519955744,English,,copy_only,false
1026592549721789,English,,copy_only,false
1027111360001443,English,English,agree,false
1031277119430910,English,,copy_only,false
1034617109315250,English,English,agree,false
1037505808631947,English,English,agree,false
1042850444950034,English,English,agree,false
1058193627387168,English,English,agree,false
1083502908185516,English,English,agree,false
1109622268903320,English,English,agree,false
1137530259438222,English,English,agree,false
1168519741972828,English,,copy_only,false
1213777460734259,English,,copy_only,false
1218671753547509,English,English,agree,false
1230808302298799,English,English,agree,false
1231311415597698,English,English,agree,false
1244613431077113,English,English,agree,false
1249200367294137,English,,copy_only,false
1264136165518560,English,English,agree,false
1265112498602213,English,,copy_only,false
1266896538851718,English,English,agree,false
1267115098511793,English,English,agree,false
1274695934858096,English,English,agree,false
1281880330819874,English,English,agree,false
1283229190629431,English,English,agree,false
1285569029603660,English,,copy_only,false
1289363819981492,English,English,agree,false
1290223629926787,English,English,agree,false
1290680159494956,English,English,agree,false
1295371085523432,English,English,agree,false
1295577742655066,English,,copy_only,false
1297642861998332,English,English,agree,false
1299327432353416,English,English,agree,false
1299672751710265,English,English,agree,false
1300562598849283,English,English,agree,false
1303984397967191,English,English,agree,false
1304712985124608,English,English,agree,false
1304930827640000,English,,copy_only,false
1306909370884974,English,English,agree,false
1307188548234290,English,,copy_only,false
1307431290729921,English,,copy_only,false
1307707194110436,English,English,agree,false
1308275597318776,English,,copy_only,false
1308475204582398,English,English,agree,false
1309362284501239,English,English,agree,false
1309945897778127,English,,copy_only,false
1310877167913494,English,English,agree,false
1313063437468973,English,English,agree,false
1314290944138060,English,English,agree,false
1316066920475716,English,,copy_only,false
1317421439772078,English,,copy_only,false
1320698123600855,English,English,agree,false
1321820823242307,English,,copy_only,false
1322368433364978,English,English,agree,false
1323700989262551,,English,audio_only,false
1324244086252624,English,English,agree,false
1327072366036770,English,English,agree,false
1327341312828250,English,English,agree,false
1328231482705036,English,English,agree,false
1330964142244241,English,English,agree,false
1332928282078834,English,English,agree,false
1333845745257365,English,English,agree,false
1334618508565781,English,,copy_only,false
1334894005201388,English,English,agree,false
1335436018528237,English,English,agree,false
1338416851516422,English,,copy_only,false
1341101164603689,English,English,agree,false
1342307254418309,English,English,agree,false
1344855007551368,English,English,agree,false
1345485144104370,English,English,agree,false
1347312157244411,English,English,agree,false
1348451947202496,English,English,agree,false
1351558753558031,English,English,agree,false
1357334192911322,English,English,agree,false
1359535953018082,English,English,agree,false
1372734824906812,English,English,agree,false
1378250434135755,English,English,agree,false
1378435157436690,English,English,agree,false
1389245473014883,English,,copy_only,false
1394875489329016,English,English,agree,false
1395179515999240,English,Hindi,disagree,true
1395320139283491,English,English,agree,false
1407053411186041,English,,copy_only,false
1410186047538937,English,English,agree,false
1413261284161942,English,English,agree,false
1413499927486042,English,English,agree,false
1413543764136761,English,English,agree,false
1422241006596275,English,English,agree,false
1433413138553184,English,English,agree,false
1447995542938284,,English,audio_only,false
1448720376875344,English,English,agree,false
1452317883341969,English,,copy_only,false
1452497216627357,English,,copy_only,false
1457795429720362,English,English,agree,false
1458287982290511,English,English,agree,false
1461470485264629,English,English,agree,false
1462024831867901,English,English,agree,false
1465202198203162,English,English,agree,false
1466557791940649,English,English,agree,false
1468669864379536,English,English,agree,false
1469613061573017,English,Hindi,disagree,true
1471462244163599,English,English,agree,false
1472379261037057,English,,copy_only,false
1473601681072488,English,English,agree,false
1473846077550038,English,English,agree,false
1474647687730449,English,,copy_only,false
1475576313559918,English,English,agree,false
1476251200968359,English,English,agree,false
1477832580746522,English,English,agree,false
1482446469451194,English,English,agree,false
1483581310175072,English,English,agree,false
1486233319667270,English,English,agree,false
1487733916142109,English,,copy_only,false
1488628986378006,English,English,agree,false
1493576399191050,English,English,agree,false
1495051495368238,English,,copy_only,false
1496629299149131,English,English,agree,false
1497936665346556,English,English,agree,false
1499125685238269,English,English,agree,false
1499832728262493,English,,copy_only,false
1501865931273199,English,English,agree,false
1502135684947381,English,English,agree,false
1502163374924961,English,English,agree,false
1502335084723654,English,English,agree,false
1505816484577671,English,English,agree,false
1506064064391726,English,English,agree,false
1506096514359130,English,English,agree,false
1506877364384373,English,English,agree,false
1507366707840407,English,,copy_only,false
1511018107035710,English,English,agree,false
1511699417218878,English,English,agree,false
1512744190530792,English,English,agree,false
1513422940192478,English,English,agree,false
1514236670316304,English,English,agree,false
1514844143419145,English,English,agree,false
1516876816814846,English,English,agree,false
1517519639959959,English,English,agree,false
1518858149750346,English,English,agree,false
1518962062915602,English,English,agree,false
1519449926514198,English,,copy_only,false
1519993253052122,English,,copy_only,false
1520649129665426,English,English,agree,false
1522128662969277,English,English,agree,false
1524272802396834,English,English,agree,false
1525539975901936,English,,copy_only,false
1526313555629564,,Hindi,audio_only,false
1526873115619640,English,,copy_only,false
1526877048960805,English,English,agree,false
1530019845227310,English,English,agree,false
1531644281691946,English,,copy_only,false
1532309055242158,English,,copy_only,false
1534273534755094,English,English,agree,false
1534531005061404,English,English,agree,false
1534672114676637,English,English,agree,false
1539875584430396,English,English,agree,false
1540230911052913,English,English,agree,false
1542232330948541,English,English,agree,false
1544130163903814,English,English,agree,false
1545342520554361,English,English,agree,false
1547156103734323,English,unknown,copy_only,false
1547426376984036,English,English,agree,false
1547799510245830,English,English,agree,false
1549167540129258,English,English,agree,false
1549644453183539,English,English,agree,false
1551419969746805,English,English,agree,false
1563409292021287,English,English,agree,false
1566718835460461,English,,copy_only,false
1571019874379818,English,English,agree,false
1573209414222400,English,English,agree,false
1575558140951930,English,,copy_only,false
1576375724042094,English,,copy_only,false
1587705206318336,English,English,agree,false
1594180728511921,,English,audio_only,false
1598311961241782,English,English,agree,false
1606915600884130,English,,copy_only,false
