row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls
11,11,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00345932273930993665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00345932273930993665?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
12,12,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00345932273930993665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00345932273930993665?region=IN,YouTubeVideo,2026-06-29,2356,2,4,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
13,13,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00345932273930993665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00345932273930993665?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
14,14,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00379240329427025921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00379240329427025921?region=IN,YouTubeVideo,2026-06-29,2356,0,4,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
15,15,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00379240329427025921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00379240329427025921?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
16,16,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00379240329427025921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00379240329427025921?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
17,17,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00379240329427025921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00379240329427025921?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
18,18,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00818366375704657921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00818366375704657921?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
19,19,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00818366375704657921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00818366375704657921?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
20,20,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00818366375704657921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00818366375704657921?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
21,21,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00818366375704657921,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00818366375704657921?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
22,22,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00873319623263518721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00873319623263518721?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
23,23,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00873319623263518721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00873319623263518721?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
24,24,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00873319623263518721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00873319623263518721?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
25,25,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00873319623263518721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00873319623263518721?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
26,26,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00884794470208372737,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00884794470208372737?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
27,27,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00884794470208372737,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00884794470208372737?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
28,28,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00884794470208372737,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00884794470208372737?region=IN,YouTubeVideo,2026-06-29,2356,2,5,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
29,29,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00884794470208372737,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00884794470208372737?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
30,30,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00884794470208372737,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00884794470208372737?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
31,31,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00893801669463113729,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00893801669463113729?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
32,32,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00893801669463113729,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00893801669463113729?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
33,33,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00893801669463113729,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00893801669463113729?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
34,34,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00893801669463113729,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00893801669463113729?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
35,35,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00980917281401864193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00980917281401864193?region=IN,YouTubeVideo,2026-06-29,2356,0,4,ഇന്\u200dസ്റ്റാള്\u200d ചെയ്യുക,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
36,36,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00980917281401864193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00980917281401864193?region=IN,YouTubeVideo,2026-06-29,2356,1,4,ഇന്\u200dസ്റ്റാള്\u200d ചെയ്യുക,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
37,37,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00980917281401864193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00980917281401864193?region=IN,YouTubeVideo,2026-06-29,2356,2,4,ഇന്\u200dസ്റ്റാള്\u200d ചെയ്യുക,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
38,38,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00980917281401864193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00980917281401864193?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
39,39,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00998407487742803969,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00998407487742803969?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
40,40,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00998407487742803969,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00998407487742803969?region=IN,YouTubeVideo,2026-06-29,2356,1,5,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
41,41,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00998407487742803969,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00998407487742803969?region=IN,YouTubeVideo,2026-06-29,2356,2,5,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
42,42,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00998407487742803969,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00998407487742803969?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
43,43,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00998407487742803969,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00998407487742803969?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
44,44,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01014436142482718721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01014436142482718721?region=IN,YouTubeVideo,2026-06-29,"2356,2528",0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
45,45,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01014436142482718721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01014436142482718721?region=IN,YouTubeVideo,2026-06-29,"2356,2528",1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
46,46,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01014436142482718721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01014436142482718721?region=IN,YouTubeVideo,2026-06-29,"2356,2528",2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
47,47,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01014436142482718721,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01014436142482718721?region=IN,YouTubeVideo,2026-06-29,"2356,2528",3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
48,48,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01015980406563930113,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01015980406563930113?region=IN,YouTubeVideo,2026-06-29,2356,0,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
49,49,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01015980406563930113,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01015980406563930113?region=IN,YouTubeVideo,2026-06-29,2356,1,3,⁦Seekho⁩,Seekho: Short Learning Videos | Hindu Sanskar Seekho Aaj!,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
50,50,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01015980406563930113,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01015980406563930113?region=IN,YouTubeVideo,2026-06-29,2356,2,3,⁦Seekho⁩,Seekho: Short Learning Videos | Hindu Sanskar Seekho Aaj!,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
51,51,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01025740633844744193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01025740633844744193?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
52,52,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01025740633844744193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01025740633844744193?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
53,53,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01025740633844744193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01025740633844744193?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
54,54,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01025740633844744193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01025740633844744193?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
55,55,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01057967207985709057,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01057967207985709057?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
56,56,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01057967207985709057,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01057967207985709057?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
57,57,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01057967207985709057,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01057967207985709057?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
58,58,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01057967207985709057,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01057967207985709057?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
59,59,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01323926469310676993,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01323926469310676993?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
60,60,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01323926469310676993,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01323926469310676993?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
61,61,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01323926469310676993,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01323926469310676993?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
62,62,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01323926469310676993,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01323926469310676993?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
63,63,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01323926469310676993,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01323926469310676993?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
64,64,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01392012378240974849,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01392012378240974849?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
65,65,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01392012378240974849,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01392012378240974849?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
66,66,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01392012378240974849,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01392012378240974849?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
67,67,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR01392012378240974849,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR01392012378240974849?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
68,68,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02020447526225707009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02020447526225707009?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
69,69,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02020447526225707009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02020447526225707009?region=IN,YouTubeVideo,2026-06-29,2356,1,4,⁦Seekho⁩,Seekho: Short Learning Videos | increase followers Seekho,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
70,70,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02020447526225707009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02020447526225707009?region=IN,YouTubeVideo,2026-06-29,2356,2,4,⁦Seekho⁩,Seekho: Short Learning Videos | insta viral hacks Seekho,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
71,71,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02020447526225707009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02020447526225707009?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
72,72,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02023426378103259137,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02023426378103259137?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
73,73,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02023426378103259137,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02023426378103259137?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
74,74,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02023426378103259137,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02023426378103259137?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
75,75,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02023426378103259137,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02023426378103259137?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
76,76,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02023426378103259137,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02023426378103259137?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
