row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls
37,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR06074318147324739585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR06074318147324739585?region=IN,Image,2025-07-06,"2840,2076,2203,2056,2348,2440,2233,2752,2380,2724,2276,2792,2528,2356,2703,2300,2642,2100,2616,2620,2372,2250,2040,2191",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/7392026229937438759/index.html,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR06074318147324739585.jpg,2026-06-03,2026-06-05,,,,
38,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR06074318147324739585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR06074318147324739585?region=IN,Image,2025-07-06,"2840,2076,2203,2056,2348,2440,2233,2752,2380,2724,2276,2792,2528,2356,2703,2300,2642,2100,2616,2620,2372,2250,2040,2191",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/11827931158064477884/index.html,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR06074318147324739585.jpg,2026-06-03,2026-06-05,,,,
39,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR07555390752667205633,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR07555390752667205633?region=IN,YouTubeVideo,2025-10-24,"2380,2356,2840,2724,2250",0,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
40,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR07555390752667205633,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR07555390752667205633?region=IN,YouTubeVideo,2025-10-24,"2380,2356,2840,2724,2250",1,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
41,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR07555390752667205633,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR07555390752667205633?region=IN,YouTubeVideo,2025-10-24,"2380,2356,2840,2724,2250",2,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
42,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR07779640298090528769,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR07779640298090528769?region=IN,Image,2026-06-03,"2100,2300,2703,2826,2191,2276,2792,2440,2356,2616,2752,2642,2380,2233,2348,2372,2705,2840,2203,2076,2724,2040,2056,2578,2250,2620,2528,2208",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/8234667328645570625,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR07779640298090528769.jpg,2026-06-03,2026-06-05,,,,
43,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10089534500846436353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10089534500846436353?region=IN,YouTubeVideo,2025-07-06,"2608,2504,2012,2818,2356,2116,2834,2368,2788,2800,2524,2050,2144,2586,2418,2360,2404,2422,2434,2566",0,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
44,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10089534500846436353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10089534500846436353?region=IN,YouTubeVideo,2025-07-06,"2608,2504,2012,2818,2356,2116,2834,2368,2788,2800,2524,2050,2144,2586,2418,2360,2404,2422,2434,2566",1,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
45,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10089534500846436353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10089534500846436353?region=IN,YouTubeVideo,2025-07-06,"2608,2504,2012,2818,2356,2116,2834,2368,2788,2800,2524,2050,2144,2586,2418,2360,2404,2422,2434,2566",2,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
46,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10416099556058988545,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10416099556058988545?region=IN,YouTubeVideo,2025-11-11,"2250,2840,2484,2356",0,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
47,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10416099556058988545,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10416099556058988545?region=IN,YouTubeVideo,2025-11-11,"2250,2840,2484,2356",1,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
48,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10416099556058988545,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10416099556058988545?region=IN,YouTubeVideo,2025-11-11,"2250,2840,2484,2356",2,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
49,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR10416099556058988545,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR10416099556058988545?region=IN,YouTubeVideo,2025-11-11,"2250,2840,2484,2356",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
50,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR12359054043924922369,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR12359054043924922369?region=IN,Image,2025-07-06,"2504,2356,2100,2360,2792,2616,2724,2642,2300,2276",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/7746651691754416987/index.html,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR12359054043924922369.jpg,2026-06-03,2026-06-05,,,,
51,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR12839938236155428865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR12839938236155428865?region=IN,Image,2025-07-06,"2404,2788,2566,2050,2818,2524,2116,2504,2012,2800,2368,2704,2144,2288,2586,2834,2862,2422,2356,2360,2608",0,3,,,,,,,,,,,,,,2026-06-03,image-url-not-extracted,,2026-06-03,2026-06-03,,,,
52,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR12839938236155428865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR12839938236155428865?region=IN,Image,2025-07-06,"2404,2788,2566,2050,2818,2524,2116,2504,2012,2800,2368,2704,2144,2288,2586,2834,2862,2422,2356,2360,2608",1,3,,,,,,,,,,,,,,2026-06-03,image-url-not-extracted,,2026-06-03,2026-06-03,,,,
53,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR12839938236155428865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR12839938236155428865?region=IN,Image,2025-07-06,"2404,2788,2566,2050,2818,2524,2116,2504,2012,2800,2368,2704,2144,2288,2586,2834,2862,2422,2356,2360,2608",2,3,,,,,,,,,,,,,,2026-06-03,image-url-not-extracted,,2026-06-03,2026-06-03,,,,
54,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR13970304531028770817,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR13970304531028770817?region=IN,YouTubeVideo,2025-06-05,"2764,2036,2040,2826,2578,2032,2372,2724,2380,2752,2233,2356,2196,2442,2360,2818,2566,2124,2616,2100,2840,2528,2620,2076,2470,2428,2191,2554,2250,2348,2056,2608,2705,2703,2246,2642,2276,2484,2792,2170,2440,2704,2300,2352,2208,2203,2504",0,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
55,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR13970304531028770817,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR13970304531028770817?region=IN,YouTubeVideo,2025-06-05,"2764,2036,2040,2826,2578,2032,2372,2724,2380,2752,2233,2356,2196,2442,2360,2818,2566,2124,2616,2100,2840,2528,2620,2076,2470,2428,2191,2554,2250,2348,2056,2608,2705,2703,2246,2642,2276,2484,2792,2170,2440,2704,2300,2352,2208,2203,2504",1,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
56,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR13970304531028770817,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR13970304531028770817?region=IN,YouTubeVideo,2025-06-05,"2764,2036,2040,2826,2578,2032,2372,2724,2380,2752,2233,2356,2196,2442,2360,2818,2566,2124,2616,2100,2840,2528,2620,2076,2470,2428,2191,2554,2250,2348,2056,2608,2705,2703,2246,2642,2276,2484,2792,2170,2440,2704,2300,2352,2208,2203,2504",2,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
57,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR13970304531028770817,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR13970304531028770817?region=IN,YouTubeVideo,2025-06-05,"2764,2036,2040,2826,2578,2032,2372,2724,2380,2752,2233,2356,2196,2442,2360,2818,2566,2124,2616,2100,2840,2528,2620,2076,2470,2428,2191,2554,2250,2348,2056,2608,2705,2703,2246,2642,2276,2484,2792,2170,2440,2704,2300,2352,2208,2203,2504",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
58,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14511376299001380865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14511376299001380865?region=IN,YouTubeVideo,2025-10-17,"2834,2862,2208,2352,2498,2398,2764,2288,2418,2724,2320,2380,2214,2070,2404,2458,2360,2558,2752,2620,2470,2442,2858,2528,2703,2076,2100,2616,2376,2348,2144,2663,2688,2056,2474,2591,2499,2246,2250,2276,2792,2188,2440,2340,2175,2604,2704,2218,2807,2578,2040,2826,2196,2372,2032,2233,2356,2152,2312,2566,2428,2191,2800,2705,2268,2254,2710,2598,2388,2608,2642,2068,2484,2638,2031,2170,2686,2716,2600,2300,2222,2392,2203",0,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
59,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14511376299001380865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14511376299001380865?region=IN,YouTubeVideo,2025-10-17,"2834,2862,2208,2352,2498,2398,2764,2288,2418,2724,2320,2380,2214,2070,2404,2458,2360,2558,2752,2620,2470,2442,2858,2528,2703,2076,2100,2616,2376,2348,2144,2663,2688,2056,2474,2591,2499,2246,2250,2276,2792,2188,2440,2340,2175,2604,2704,2218,2807,2578,2040,2826,2196,2372,2032,2233,2356,2152,2312,2566,2428,2191,2800,2705,2268,2254,2710,2598,2388,2608,2642,2068,2484,2638,2031,2170,2686,2716,2600,2300,2222,2392,2203",1,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
60,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14511376299001380865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14511376299001380865?region=IN,YouTubeVideo,2025-10-17,"2834,2862,2208,2352,2498,2398,2764,2288,2418,2724,2320,2380,2214,2070,2404,2458,2360,2558,2752,2620,2470,2442,2858,2528,2703,2076,2100,2616,2376,2348,2144,2663,2688,2056,2474,2591,2499,2246,2250,2276,2792,2188,2440,2340,2175,2604,2704,2218,2807,2578,2040,2826,2196,2372,2032,2233,2356,2152,2312,2566,2428,2191,2800,2705,2268,2254,2710,2598,2388,2608,2642,2068,2484,2638,2031,2170,2686,2716,2600,2300,2222,2392,2203",2,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
61,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14511376299001380865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14511376299001380865?region=IN,YouTubeVideo,2025-10-17,"2834,2862,2208,2352,2498,2398,2764,2288,2418,2724,2320,2380,2214,2070,2404,2458,2360,2558,2752,2620,2470,2442,2858,2528,2703,2076,2100,2616,2376,2348,2144,2663,2688,2056,2474,2591,2499,2246,2250,2276,2792,2188,2440,2340,2175,2604,2704,2218,2807,2578,2040,2826,2196,2372,2032,2233,2356,2152,2312,2566,2428,2191,2800,2705,2268,2254,2710,2598,2388,2608,2642,2068,2484,2638,2031,2170,2686,2716,2600,2300,2222,2392,2203",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
62,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14668918654356160513,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14668918654356160513?region=IN,YouTubeVideo,2025-08-21,"2203,2442,2056,2578,2705,2250,2620,2208,2528,2300,2040,2756,2616,2100,2191,2470,2356,2372,2752,2380,2642,2196,2276,2724,2348",0,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
63,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14668918654356160513,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14668918654356160513?region=IN,YouTubeVideo,2025-08-21,"2203,2442,2056,2578,2705,2250,2620,2208,2528,2300,2040,2756,2616,2100,2191,2470,2356,2372,2752,2380,2642,2196,2276,2724,2348",1,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
64,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14668918654356160513,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14668918654356160513?region=IN,YouTubeVideo,2025-08-21,"2203,2442,2056,2578,2705,2250,2620,2208,2528,2300,2040,2756,2616,2100,2191,2470,2356,2372,2752,2380,2642,2196,2276,2724,2348",2,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
65,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR14668918654356160513,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR14668918654356160513?region=IN,YouTubeVideo,2025-08-21,"2203,2442,2056,2578,2705,2250,2620,2208,2528,2300,2040,2756,2616,2100,2191,2470,2356,2372,2752,2380,2642,2196,2276,2724,2348",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
66,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15375785703371702273,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15375785703371702273?region=IN,Image,2026-04-06,2356,0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1252451058202744525,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR15375785703371702273.jpg,2026-06-03,2026-06-05,,,,
67,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15375785703371702273,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15375785703371702273?region=IN,Image,2026-04-06,2356,1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16611849878994528242,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR15375785703371702273.jpg,2026-06-03,2026-06-05,,,,
68,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15375785703371702273,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15375785703371702273?region=IN,Image,2026-04-06,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/17750356536583591942,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR15375785703371702273.jpg,2026-06-03,2026-06-05,,,,
69,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15511343847715110913,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15511343847715110913?region=IN,YouTubeVideo,2025-06-05,"2356,2840,2124,2380,2276,2250",0,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
70,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15511343847715110913,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15511343847715110913?region=IN,YouTubeVideo,2025-06-05,"2356,2840,2124,2380,2276,2250",1,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
71,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15511343847715110913,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15511343847715110913?region=IN,YouTubeVideo,2025-06-05,"2356,2840,2124,2380,2276,2250",2,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
72,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR15511343847715110913,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR15511343847715110913?region=IN,YouTubeVideo,2025-06-05,"2356,2840,2124,2380,2276,2250",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
73,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17213842177742864385,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17213842177742864385?region=IN,YouTubeVideo,2026-06-03,"2616,2484,2724,2840,2356,2104,2682,2124,2276,2528",0,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
74,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17213842177742864385,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17213842177742864385?region=IN,YouTubeVideo,2026-06-03,"2616,2484,2724,2840,2356,2104,2682,2124,2276,2528",1,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
75,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17213842177742864385,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17213842177742864385?region=IN,YouTubeVideo,2026-06-03,"2616,2484,2724,2840,2356,2104,2682,2124,2276,2528",2,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
76,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17614876717418020865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17614876717418020865?region=IN,YouTubeVideo,2025-10-21,"2124,2724,2840,2356,2616,2250,2484,2528,2392,2276,2642,2300,2620,2380",0,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
77,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17614876717418020865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17614876717418020865?region=IN,YouTubeVideo,2025-10-21,"2124,2724,2840,2356,2616,2250,2484,2528,2392,2276,2642,2300,2620,2380",1,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
78,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR17614876717418020865,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR17614876717418020865?region=IN,YouTubeVideo,2025-10-21,"2124,2724,2840,2356,2616,2250,2484,2528,2392,2276,2642,2300,2620,2380",2,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
