ad_id,language
CR00181197265694621697,English
CR00486904619688001537,Bengali
CR01002423385243779073,Hindi
CR01130741245518282753,Telugu
CR01290797153173635073,English
CR01947827506220367873,English
CR02400119130498793473,Telugu
CR02441408515131047937,English
CR02959457325661814785,Bengali
CR02969335793392287745,English
CR03342477054510628865,German
CR03444500283185430529,Telugu
CR03460262881881227265,Hindi
CR03872881463749771265,English
CR04055412608847577089,Telugu
CR04123240768200507393,English
CR04128968115679657985,Hindi
CR04153116191344295937,Dutch
CR04273584492079218689,English
CR04668698788704026625,Bengali
CR04916521202001903617,Hindi
CR05467319868309110785,English
CR05543142980434526209,Bengali
CR05666550748196896769,Telugu
CR05686368302826258433,Greek
CR05803985243492843521,English
CR05921300900793548801,English
CR06417969407074500609,English
CR06623573614702624769,English
CR07157674058048339969,English
CR07175890947085959169,English
CR07543396523917180929,Hindi
CR07791060006245236737,English
CR07848985989648220161,Hindi
CR07943736713409462273,English
CR08032435845430509569,Romanian
CR08042033241911197697,Spanish
CR08608896597733933057,Spanish
CR08840752513058603009,English
CR09402136117676867585,Thai
CR09890420641637597185,Bengali
CR10049201622610870273,Hindi
CR10213188705242316801,English
CR10370041099870797825,English
CR10464658688235798529,Bengali
CR10509336174999371777,Hindi
CR10801463641266716673,English
CR10807972672793739265,Hindi
CR10906009665011712001,English
CR10970625824482394113,Bengali
CR12073527658923687937,English
CR12082378504188985345,English
CR12291604107982012417,Hindi
CR12455594901465202689,Hindi
CR12480928817600266241,English
CR12812375197634002945,English
CR12863802955647680513,English
CR12912006576201531393,Hindi
CR13524496125523918849,English
CR13542136251993292801,Turkish
CR13972041338493861889,Hindi
CR13983462524117319681,English
CR14457736933477974017,English
CR14698326243892264961,Arabic
CR14950572808512471041,Hindi
CR15087245196221480961,Telugu
CR15129272378925776897,English
CR15197344586910400513,Hindi
CR15252672089329500161,English
CR15612273062320275457,Hindi
CR15636233628302704641,Tamil
CR16014139614470078465,English
CR16079470319059861505,Bengali
CR16860688844016582657,Hindi
CR16979506013294034945,Hindi
CR17141482123518017537,German
CR17195655018468868097,English
CR17264945408027656193,English
CR17915019846790152193,Hindi
CR18027554312137211905,English
CR18037957332813479937,Hindi
CR18247574835192397825,English
CR18337398930817417217,Tamil
CR18439375644996403201,English
