row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00224238326968745985,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00224238326968745985?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
2,2,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00224238326968745985,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00224238326968745985?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
3,3,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00224238326968745985,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00224238326968745985?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4
4,4,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00224238326968745985,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00224238326968745985?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
5,5,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00224238326968745985,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00224238326968745985?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
6,6,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00284101787298824193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00284101787298824193?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4
7,7,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00284101787298824193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00284101787298824193?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4
8,8,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00284101787298824193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00284101787298824193?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4
9,9,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00284101787298824193,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00284101787298824193?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
10,10,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR00345932273930993665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR00345932273930993665?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4
