row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2764,2704,2578,2826,2724,2752,2380,2372,2356,2360,2050,2100,2616,2458,2470,2124,2191,2528,2620,2250,2056,2702,2348,2840,2156,2792,2158,2276,2246,2608,2344,2642,2208,2300,2392,2586,2410,2036,2040,2203",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/15136063618993043816/index.html,,2026-07-13,
2,2,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2764,2704,2578,2826,2724,2752,2380,2372,2356,2360,2050,2100,2616,2458,2470,2124,2191,2528,2620,2250,2056,2702,2348,2840,2156,2792,2158,2276,2246,2608,2344,2642,2208,2300,2392,2586,2410,2036,2040,2203",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/446634437888131498/index.html,,2026-07-13,
3,3,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2764,2704,2578,2826,2724,2752,2380,2372,2356,2360,2050,2100,2616,2458,2470,2124,2191,2528,2620,2250,2056,2702,2348,2840,2156,2792,2158,2276,2246,2608,2344,2642,2208,2300,2392,2586,2410,2036,2040,2203",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/10811125463154539907/index.html,,2026-07-13,
4,4,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2372,2410,2300,2764,2040,2203,2036,2392,2826,2208,2704,2608,2792,2246,2642,2616,2276,2620,2124,2344,2348,2528,2158,2250,2056,2470,2702,2840,2724,2458,2360,2380,2752,2356",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-13,
5,5,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2372,2410,2300,2764,2040,2203,2036,2392,2826,2208,2704,2608,2792,2246,2642,2616,2276,2620,2124,2344,2348,2528,2158,2250,2056,2470,2702,2840,2724,2458,2360,2380,2752,2356",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-13,
6,6,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2372,2410,2300,2764,2040,2203,2036,2392,2826,2208,2704,2608,2792,2246,2642,2616,2276,2620,2124,2344,2348,2528,2158,2250,2056,2470,2702,2840,2724,2458,2360,2380,2752,2356",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-13,
7,7,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01089078327580295169,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01089078327580295169?region=IN,Image,2025-07-29,"2608,2203,2250,2392,2616,2056,2528,2724,2764,2360,2704,2840,2380,2356,2276,2246,2348",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/8979459366137136977/index.html,,2026-07-13,
8,8,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2300,2442,2788,2208,2764,2266,2036,2686,2352,2392,2178,2834,2203,2020,2608,2710,2638,2484,2170,2642,2124,2191,2384,2428,2540,2254,2480,2258,2818,2705,2312,2784,2196,2356,2466,2233,2120,2032,2175,2372,2324,2450,2704,2204,2040,2132,2756,2504,2578,2826,2768,2348,2474,2276,2792,2682,2492,2100,2008,2620,2470,2616,2012,2528,2116,2246,2376,2663,2440,2076,2840,2702,2703,2250,2056,2360,2724,2214,2380,2752",0,5,,,,,,,,,,,,,,2026-07-13,html5-banner-no-mp4
9,9,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2300,2442,2788,2208,2764,2266,2036,2686,2352,2392,2178,2834,2203,2020,2608,2710,2638,2484,2170,2642,2124,2191,2384,2428,2540,2254,2480,2258,2818,2705,2312,2784,2196,2356,2466,2233,2120,2032,2175,2372,2324,2450,2704,2204,2040,2132,2756,2504,2578,2826,2768,2348,2474,2276,2792,2682,2492,2100,2008,2620,2470,2616,2012,2528,2116,2246,2376,2663,2440,2076,2840,2702,2703,2250,2056,2360,2724,2214,2380,2752",1,5,,,,,,,,,,,,,,2026-07-13,html5-banner-no-mp4
10,10,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2300,2442,2788,2208,2764,2266,2036,2686,2352,2392,2178,2834,2203,2020,2608,2710,2638,2484,2170,2642,2124,2191,2384,2428,2540,2254,2480,2258,2818,2705,2312,2784,2196,2356,2466,2233,2120,2032,2175,2372,2324,2450,2704,2204,2040,2132,2756,2504,2578,2826,2768,2348,2474,2276,2792,2682,2492,2100,2008,2620,2470,2616,2012,2528,2116,2246,2376,2663,2440,2076,2840,2702,2703,2250,2056,2360,2724,2214,2380,2752",2,5,,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4
