row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
1,1,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00077483048265842689,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00077483048265842689?region=IN,Image,2026-03-30,2356,0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/14982709844249098154,,2026-07-13,
2,2,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00172539367540129793,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00172539367540129793?region=IN,Image,2026-03-30,2356,0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6163406411705906955,,2026-07-13,
3,3,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00172539367540129793,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00172539367540129793?region=IN,Image,2026-03-30,2356,1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6163406411705906955,,2026-07-13,
4,4,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00172539367540129793,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00172539367540129793?region=IN,Image,2026-03-30,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6163406411705906955,,2026-07-13,
5,5,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00183418201873317889,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00183418201873317889?region=IN,YouTubeVideo,2026-07-13,2356,0,3,,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4
6,6,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00183418201873317889,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00183418201873317889?region=IN,YouTubeVideo,2026-07-13,2356,1,3,30 crore se bhi zyaade log Duolingo pe English aur doosri languages seekhte hai,,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4
7,7,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00183418201873317889,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00183418201873317889?region=IN,YouTubeVideo,2026-07-13,2356,2,3,"English seekhe, bilkul muft",CATEGORY,,,,,,,,,,,00:00,2026-07-13,html5-banner-no-mp4
8,8,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00220408796688678913,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00220408796688678913?region=IN,Image,2026-07-13,2356,0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16749071595859670185,,2026-07-13,
9,9,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00220408796688678913,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00220408796688678913?region=IN,Image,2026-07-13,2356,1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16749071595859670185,,2026-07-13,
10,10,Duolingo,AR01320432650854334465,Duolingo Inc,United States,IN,CR00220408796688678913,https://adstransparency.google.com/advertiser/AR01320432650854334465/creative/CR00220408796688678913?region=IN,Image,2026-07-13,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16749071595859670185,,2026-07-13,
