pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
google,duolingo,AR01320432650854334465,CR00077483048265842689,2026-06-03,1,1,true,,
google,duolingo,AR01320432650854334465,CR00077483048265842689,2026-06-05,1,1,true,0,2
google,duolingo,AR01320432650854334465,CR00077483048265842689,2026-06-15,1,1,true,0,10
google,duolingo,AR01320432650854334465,CR00077483048265842689,2026-07-13,1,1,true,0,28
google,duolingo,AR01320432650854334465,CR00080577486303264769,2026-06-03,2,2,true,,
google,duolingo,AR01320432650854334465,CR00080577486303264769,2026-06-05,2,2,true,0,2
google,duolingo,AR01320432650854334465,CR00080577486303264769,2026-06-15,1,2,true,1,10
google,duolingo,AR01320432650854334465,CR00172539367540129793,2026-06-03,3,2,true,,
google,duolingo,AR01320432650854334465,CR00172539367540129793,2026-06-05,4,5,true,-1,2
google,duolingo,AR01320432650854334465,CR00172539367540129793,2026-06-15,4,5,true,0,10
google,duolingo,AR01320432650854334465,CR00172539367540129793,2026-07-13,2,2,true,2,28
google,duolingo,AR01320432650854334465,CR00092628322722250753,2026-06-03,4,3,true,,
google,duolingo,AR01320432650854334465,CR00092628322722250753,2026-06-05,3,3,true,1,2
google,duolingo,AR01320432650854334465,CR00092628322722250753,2026-06-15,2,3,true,1,10
google,duolingo,AR01320432650854334465,CR00183418201873317889,2026-06-03,5,5,true,,
google,duolingo,AR01320432650854334465,CR00183418201873317889,2026-06-05,7,13,true,-2,2
google,duolingo,AR01320432650854334465,CR00183418201873317889,2026-06-15,7,15,true,0,10
google,duolingo,AR01320432650854334465,CR00183418201873317889,2026-07-13,3,5,true,4,28
google,duolingo,AR01320432650854334465,CR00181197265694621697,2026-06-03,6,8,true,,
google,duolingo,AR01320432650854334465,CR00181197265694621697,2026-06-05,5,8,true,1,2
google,duolingo,AR01320432650854334465,CR00181197265694621697,2026-06-15,3,8,true,2,10
google,duolingo,AR01320432650854334465,CR00220408796688678913,2026-06-03,7,8,true,,
google,duolingo,AR01320432650854334465,CR00220408796688678913,2026-06-05,8,17,true,-1,2
google,duolingo,AR01320432650854334465,CR00220408796688678913,2026-06-15,8,19,true,0,10
google,duolingo,AR01320432650854334465,CR00220408796688678913,2026-07-13,4,8,true,4,28
google,duolingo,AR01320432650854334465,CR00273460825434357761,2026-06-03,8,11,true,,
google,duolingo,AR01320432650854334465,CR00273460825434357761,2026-06-05,10,23,true,-2,2
google,duolingo,AR01320432650854334465,CR00273460825434357761,2026-06-15,10,25,true,0,10
google,duolingo,AR01320432650854334465,CR00273460825434357761,2026-07-13,5,11,true,5,28
google,duolingo,AR01320432650854334465,CR00182742388769292289,2026-06-03,9,12,true,,
google,duolingo,AR01320432650854334465,CR00182742388769292289,2026-06-05,6,12,true,3,2
google,duolingo,AR01320432650854334465,CR00182742388769292289,2026-06-15,4,12,true,2,10
google,duolingo,AR01320432650854334465,CR00340579095412736001,2026-06-03,10,15,true,,
google,duolingo,AR01320432650854334465,CR00340579095412736001,2026-06-05,13,31,true,-3,2
google,duolingo,AR01320432650854334465,CR00340579095412736001,2026-06-15,13,33,true,0,10
google,duolingo,AR01320432650854334465,CR00340579095412736001,2026-07-13,6,15,true,7,28
google,duolingo,AR01320432650854334465,CR00486904619688001537,2026-06-03,11,18,true,,
google,duolingo,AR01320432650854334465,CR00486904619688001537,2026-06-05,15,37,true,-4,2
google,duolingo,AR01320432650854334465,CR00486904619688001537,2026-06-15,15,39,true,0,10
google,duolingo,AR01320432650854334465,CR00486904619688001537,2026-07-13,7,18,true,8,28
google,duolingo,AR01320432650854334465,CR00225154151435206657,2026-06-03,12,22,true,,
google,duolingo,AR01320432650854334465,CR00225154151435206657,2026-06-05,9,20,true,3,2
google,duolingo,AR01320432650854334465,CR00225154151435206657,2026-06-15,5,22,true,4,10
google,duolingo,AR01320432650854334465,CR00523603173907103745,2026-06-03,13,22,true,,
google,duolingo,AR01320432650854334465,CR00523603173907103745,2026-06-05,16,41,true,-3,2
google,duolingo,AR01320432650854334465,CR00523603173907103745,2026-06-15,16,43,true,0,10
google,duolingo,AR01320432650854334465,CR00523603173907103745,2026-07-13,8,22,true,8,28
google,duolingo,AR01320432650854334465,CR00622910591681429505,2026-06-03,14,23,true,,
google,duolingo,AR01320432650854334465,CR00622910591681429505,2026-06-05,18,44,true,-4,2
google,duolingo,AR01320432650854334465,CR00622910591681429505,2026-06-15,18,45,true,0,10
google,duolingo,AR01320432650854334465,CR00622910591681429505,2026-07-13,9,23,true,9,28
google,duolingo,AR01320432650854334465,CR00666386106077413377,2026-06-03,15,26,true,,
google,duolingo,AR01320432650854334465,CR00666386106077413377,2026-06-05,19,47,true,-4,2
google,duolingo,AR01320432650854334465,CR00666386106077413377,2026-06-15,19,48,true,0,10
google,duolingo,AR01320432650854334465,CR00666386106077413377,2026-07-13,10,26,true,9,28
google,duolingo,AR01320432650854334465,CR00708930609002577921,2026-06-03,16,27,true,,
google,duolingo,AR01320432650854334465,CR00708930609002577921,2026-06-05,20,48,true,-4,2
google,duolingo,AR01320432650854334465,CR00708930609002577921,2026-06-15,20,50,true,0,10
google,duolingo,AR01320432650854334465,CR00708930609002577921,2026-07-13,11,27,true,9,28
google,duolingo,AR01320432650854334465,CR00302240267413487617,2026-06-03,17,29,true,,
google,duolingo,AR01320432650854334465,CR00302240267413487617,2026-06-05,11,27,true,6,2
google,duolingo,AR01320432650854334465,CR00302240267413487617,2026-06-15,6,29,true,5,10
google,duolingo,AR01320432650854334465,CR00912206643708559361,2026-06-03,18,30,true,,
google,duolingo,AR01320432650854334465,CR00912206643708559361,2026-06-05,23,56,true,-5,2
google,duolingo,AR01320432650854334465,CR00912206643708559361,2026-06-15,23,58,true,0,10
google,duolingo,AR01320432650854334465,CR00912206643708559361,2026-07-13,12,30,true,11,28
google,duolingo,AR01320432650854334465,CR00339160802722316289,2026-06-03,19,32,true,,
google,duolingo,AR01320432650854334465,CR00339160802722316289,2026-06-05,12,30,true,7,2
google,duolingo,AR01320432650854334465,CR00339160802722316289,2026-06-15,8,32,true,4,10
google,duolingo,AR01320432650854334465,CR00355032940264030209,2026-06-03,20,36,true,,
google,duolingo,AR01320432650854334465,CR00355032940264030209,2026-06-05,14,34,true,6,2
google,duolingo,AR01320432650854334465,CR00355032940264030209,2026-06-15,9,36,true,5,10
google,duolingo,AR01320432650854334465,CR00990928154384138241,2026-06-03,21,36,true,,
google,duolingo,AR01320432650854334465,CR00990928154384138241,2026-06-05,24,57,true,-3,2
google,duolingo,AR01320432650854334465,CR00990928154384138241,2026-06-15,25,64,true,-1,10
google,duolingo,AR01320432650854334465,CR00990928154384138241,2026-07-13,14,36,true,11,28
google,duolingo,AR01320432650854334465,CR01002423385243779073,2026-06-03,22,37,true,,
google,duolingo,AR01320432650854334465,CR01002423385243779073,2026-06-05,25,58,true,-3,2
google,duolingo,AR01320432650854334465,CR01002423385243779073,2026-06-15,26,65,true,-1,10
google,duolingo,AR01320432650854334465,CR01002423385243779073,2026-07-13,15,37,true,11,28
google,duolingo,AR01320432650854334465,CR01030743368801452033,2026-06-03,23,42,true,,
google,duolingo,AR01320432650854334465,CR01030743368801452033,2026-06-05,26,63,true,-3,2
google,duolingo,AR01320432650854334465,CR01030743368801452033,2026-06-15,27,70,true,-1,10
google,duolingo,AR01320432650854334465,CR01030743368801452033,2026-07-13,16,42,true,11,28
google,duolingo,AR01320432650854334465,CR00595989985778204673,2026-06-03,24,44,true,,
google,duolingo,AR01320432650854334465,CR00595989985778204673,2026-06-05,17,43,true,7,2
google,duolingo,AR01320432650854334465,CR00595989985778204673,2026-06-15,10,44,true,7,10
google,duolingo,AR01320432650854334465,CR01080890376157396993,2026-06-03,25,47,true,,
google,duolingo,AR01320432650854334465,CR01080890376157396993,2026-06-05,27,68,true,-2,2
google,duolingo,AR01320432650854334465,CR01080890376157396993,2026-06-15,28,75,true,-1,10
google,duolingo,AR01320432650854334465,CR01080890376157396993,2026-07-13,17,47,true,11,28
google,duolingo,AR01320432650854334465,CR01130741245518282753,2026-06-03,26,51,true,,
google,duolingo,AR01320432650854334465,CR01130741245518282753,2026-06-05,29,73,true,-3,2
google,duolingo,AR01320432650854334465,CR01130741245518282753,2026-06-15,31,84,true,-2,10
google,duolingo,AR01320432650854334465,CR01130741245518282753,2026-07-13,19,51,true,12,28
google,duolingo,AR01320432650854334465,CR00754063714486845441,2026-06-03,27,53,true,,
google,duolingo,AR01320432650854334465,CR00754063714486845441,2026-06-05,21,51,true,6,2
