page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-06-03,2026-06-05,2026-06-15,2026-06-22,2026-07-13,2026-07-20
AR00705977088842137601,"Speakeasy Labs, Inc",CR00460064819299483649,Image,strong_winner,2026-06-03,2026-07-20,True,1,47,1,1,,1,1,1
AR00705977088842137601,"Speakeasy Labs, Inc",CR06175808344788303873,YouTubeVideo,winner,2026-06-03,2026-07-13,False,1,40,9,,,8,1,
AR00705977088842137601,"Speakeasy Labs, Inc",CR08963367601656823809,YouTubeVideo,loser,2026-06-15,2026-06-15,False,1,0,,,1,,,
AR00705977088842137601,"Speakeasy Labs, Inc",CR00719391405578911745,Image,strong_winner,2026-06-03,2026-07-20,True,2,47,2,2,,2,2,2
AR00705977088842137601,"Speakeasy Labs, Inc",CR09059097457702469633,YouTubeVideo,winner,2026-06-03,2026-07-13,False,2,40,14,,,12,2,
AR00705977088842137601,"Speakeasy Labs, Inc",CR01089078327580295169,Image,strong_winner,2026-06-03,2026-07-20,True,3,47,3,3,,3,3,3
AR00705977088842137601,"Speakeasy Labs, Inc",CR12027842710271426561,YouTubeVideo,winner,2026-06-03,2026-07-13,False,3,40,17,,,14,3,
AR00705977088842137601,"Speakeasy Labs, Inc",CR01428209546567876609,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,4,47,4,,,4,4,4
AR00705977088842137601,"Speakeasy Labs, Inc",CR09036662610132467713,Image,winner,2026-06-03,2026-07-20,True,4,47,11,4,,11,11,10
AR00705977088842137601,"Speakeasy Labs, Inc",CR03013186756649418753,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,5,47,5,,,5,5,5
AR00705977088842137601,"Speakeasy Labs, Inc",CR13050314015010455553,Image,winner,2026-06-03,2026-07-20,True,5,47,13,5,,15,15,12
AR00705977088842137601,"Speakeasy Labs, Inc",CR03809934818196586497,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,6,47,6,,,6,6,6
AR00705977088842137601,"Speakeasy Labs, Inc",CR17170834995170770945,Image,winner,2026-06-03,2026-07-20,True,6,47,20,6,,20,20,17
AR00705977088842137601,"Speakeasy Labs, Inc",CR05027409681262313473,YouTubeVideo,winner,2026-06-03,2026-07-20,True,7,47,7,,,7,7,7
AR00705977088842137601,"Speakeasy Labs, Inc",CR06947978593423065089,YouTubeVideo,winner,2026-06-03,2026-07-20,True,8,47,8,,,9,9,8
AR00705977088842137601,"Speakeasy Labs, Inc",CR08154973753466421249,YouTubeVideo,winner,2026-06-03,2026-07-20,True,9,47,10,,,10,10,9
AR00705977088842137601,"Speakeasy Labs, Inc",CR11982852120391974913,YouTubeVideo,winner,2026-06-03,2026-07-20,True,11,47,12,,,13,13,11
AR00705977088842137601,"Speakeasy Labs, Inc",CR14774311757321076737,YouTubeVideo,winner,2026-06-03,2026-07-20,True,13,47,15,,,16,16,13
AR00705977088842137601,"Speakeasy Labs, Inc",CR15187292739940122625,YouTubeVideo,winner,2026-06-03,2026-07-20,True,14,47,16,,,17,17,14
AR00705977088842137601,"Speakeasy Labs, Inc",CR15708446064501587969,YouTubeVideo,winner,2026-06-03,2026-07-20,True,15,47,18,,,18,18,15
AR00705977088842137601,"Speakeasy Labs, Inc",CR16557653045580660737,YouTubeVideo,winner,2026-06-03,2026-07-20,True,16,47,19,,,19,19,16
AR00705977088842137601,"Speakeasy Labs, Inc",CR18123795758917353473,YouTubeVideo,winner,2026-06-03,2026-07-20,True,18,47,21,,,21,21,18
