page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-06-03,2026-06-05,2026-06-15
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00035075571977289729,YouTubeVideo,loser,2026-06-03,2026-06-03,False,1,0,1,,
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01084621637585731585,Image,undecided,2026-06-03,2026-06-15,True,1,12,3,1,3
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00414042689944682497,Image,new,2026-06-15,2026-06-15,True,1,0,,,1
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00914879719684440065,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,2,12,2,,2
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02534039827150536705,Image,undecided,2026-06-03,2026-06-15,True,2,12,7,2,7
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR06074318147324739585,Image,undecided,2026-06-03,2026-06-15,True,3,12,11,3,11
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01496360403993624577,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,4,12,4,,4
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07779640298090528769,Image,undecided,2026-06-03,2026-06-15,True,4,12,13,4,13
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01853694192597860353,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,5,12,5,,5
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12359054043924922369,Image,undecided,2026-06-03,2026-06-15,True,5,12,16,5,16
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02356181271463329793,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,6,12,6,,6
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15375785703371702273,Image,undecided,2026-06-03,2026-06-15,True,6,12,21,6,21
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18127931477415952385,Image,undecided,2026-06-03,2026-06-15,True,7,12,25,7,24
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR03679656245221916673,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,8,12,8,,8
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18133990379190484993,Image,undecided,2026-06-03,2026-06-15,True,8,12,26,8,25
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR05936792976679239681,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,9,12,9,,10
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR04308811942690029569,Image,new,2026-06-15,2026-06-15,True,9,0,,,9
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR04661116814216921089,YouTubeVideo,loser,2026-06-03,2026-06-03,False,10,0,10,,
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07555390752667205633,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,12,12,12,,12
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10089534500846436353,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,14,12,14,,14
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10416099556058988545,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,15,12,15,,15
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12839938236155428865,Image,undecided,2026-06-03,2026-06-15,True,17,12,17,,18
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12561143413526757377,YouTubeVideo,new,2026-06-15,2026-06-15,True,17,0,,,17
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14511376299001380865,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,18,12,18,,19
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR13970304531028770817,YouTubeVideo,loser,2026-06-03,2026-06-03,False,19,0,19,,
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14668918654356160513,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,20,12,20,,20
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR17213842177742864385,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,22,12,22,,22
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR17614876717418020865,YouTubeVideo,undecided,2026-06-03,2026-06-15,True,23,12,23,,23
AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15511343847715110913,YouTubeVideo,loser,2026-06-03,2026-06-03,False,24,0,24,,
