page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-06-01,2026-06-15,2026-06-29
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00040292024506646529,YouTubeVideo,winner,2026-06-01,2026-06-29,True,1,28,1,1,1
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05074673124885135361,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,1,14,,1,40
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00080860868245454849,YouTubeVideo,winner,2026-06-01,2026-06-29,True,2,28,2,2,2
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07215400557400293377,YouTubeVideo,loser,2026-06-01,2026-06-15,False,2,14,61,2,
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00202131314252447745,YouTubeVideo,winner,2026-06-01,2026-06-29,True,3,28,3,3,3
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08490193846385246209,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,3,14,,3,74
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00356683599275098113,YouTubeVideo,winner,2026-06-01,2026-06-29,True,4,28,4,4,4
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08848692301271138305,YouTubeVideo,loser,2026-06-01,2026-06-15,False,4,14,79,4,
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00374679349036580865,YouTubeVideo,winner,2026-06-01,2026-06-29,True,5,28,5,5,5
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10434868451473358849,Image,undecided,2026-06-15,2026-06-29,True,5,14,,5,88
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00426987352007639041,YouTubeVideo,winner,2026-06-01,2026-06-29,True,6,28,6,6,6
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11859821227419893761,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,6,14,,6,97
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00521681553999265793,YouTubeVideo,winner,2026-06-01,2026-06-29,True,7,28,7,7,7
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12162775988412874753,YouTubeVideo,loser,2026-06-15,2026-06-15,False,7,0,,7,
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00703816754651987969,YouTubeVideo,winner,2026-06-01,2026-06-29,True,8,28,8,8,8
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12577149210450722817,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,8,14,,8,102
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00726059943601373185,YouTubeVideo,winner,2026-06-01,2026-06-29,True,9,28,9,9,9
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14234614610811420673,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,9,14,,9,117
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00843402298418790401,YouTubeVideo,winner,2026-06-01,2026-06-29,True,10,28,10,10,10
