page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-06-29
AR02289573295139323905,Keyaro Edutech Private Limited,CR00224238326968745985,YouTubeVideo,new,2026-06-29,2026-06-29,True,1,0,1
AR02289573295139323905,Keyaro Edutech Private Limited,CR00284101787298824193,YouTubeVideo,new,2026-06-29,2026-06-29,True,2,0,2
AR02289573295139323905,Keyaro Edutech Private Limited,CR00345932273930993665,YouTubeVideo,new,2026-06-29,2026-06-29,True,3,0,3
AR02289573295139323905,Keyaro Edutech Private Limited,CR00379240329427025921,YouTubeVideo,new,2026-06-29,2026-06-29,True,4,0,4
AR02289573295139323905,Keyaro Edutech Private Limited,CR00818366375704657921,YouTubeVideo,new,2026-06-29,2026-06-29,True,5,0,5
AR02289573295139323905,Keyaro Edutech Private Limited,CR00873319623263518721,YouTubeVideo,new,2026-06-29,2026-06-29,True,6,0,6
AR02289573295139323905,Keyaro Edutech Private Limited,CR00884794470208372737,YouTubeVideo,new,2026-06-29,2026-06-29,True,7,0,7
AR02289573295139323905,Keyaro Edutech Private Limited,CR00893801669463113729,YouTubeVideo,new,2026-06-29,2026-06-29,True,8,0,8
AR02289573295139323905,Keyaro Edutech Private Limited,CR00980917281401864193,YouTubeVideo,new,2026-06-29,2026-06-29,True,9,0,9
AR02289573295139323905,Keyaro Edutech Private Limited,CR00998407487742803969,YouTubeVideo,new,2026-06-29,2026-06-29,True,10,0,10
AR02289573295139323905,Keyaro Edutech Private Limited,CR01014436142482718721,YouTubeVideo,new,2026-06-29,2026-06-29,True,11,0,11
AR02289573295139323905,Keyaro Edutech Private Limited,CR01015980406563930113,YouTubeVideo,new,2026-06-29,2026-06-29,True,12,0,12
AR02289573295139323905,Keyaro Edutech Private Limited,CR01025740633844744193,YouTubeVideo,new,2026-06-29,2026-06-29,True,13,0,13
AR02289573295139323905,Keyaro Edutech Private Limited,CR01057967207985709057,YouTubeVideo,new,2026-06-29,2026-06-29,True,14,0,14
AR02289573295139323905,Keyaro Edutech Private Limited,CR01323926469310676993,YouTubeVideo,new,2026-06-29,2026-06-29,True,15,0,15
AR02289573295139323905,Keyaro Edutech Private Limited,CR01392012378240974849,YouTubeVideo,new,2026-06-29,2026-06-29,True,16,0,16
AR02289573295139323905,Keyaro Edutech Private Limited,CR02020447526225707009,YouTubeVideo,new,2026-06-29,2026-06-29,True,17,0,17
AR02289573295139323905,Keyaro Edutech Private Limited,CR02023426378103259137,YouTubeVideo,new,2026-06-29,2026-06-29,True,18,0,18
AR02289573295139323905,Keyaro Edutech Private Limited,CR02104638231076143105,YouTubeVideo,new,2026-06-29,2026-06-29,True,19,0,19
AR02289573295139323905,Keyaro Edutech Private Limited,CR02276273095683604481,YouTubeVideo,new,2026-06-29,2026-06-29,True,20,0,20
AR02289573295139323905,Keyaro Edutech Private Limited,CR02404892866389213185,YouTubeVideo,new,2026-06-29,2026-06-29,True,21,0,21
AR02289573295139323905,Keyaro Edutech Private Limited,CR02415981441155334145,YouTubeVideo,new,2026-06-29,2026-06-29,True,22,0,22
AR02289573295139323905,Keyaro Edutech Private Limited,CR02500435753918529537,YouTubeVideo,new,2026-06-29,2026-06-29,True,23,0,23
AR02289573295139323905,Keyaro Edutech Private Limited,CR02678215831963303937,YouTubeVideo,new,2026-06-29,2026-06-29,True,24,0,24
AR02289573295139323905,Keyaro Edutech Private Limited,CR02721990920328183809,YouTubeVideo,new,2026-06-29,2026-06-29,True,25,0,25
AR02289573295139323905,Keyaro Edutech Private Limited,CR02819408724290961409,YouTubeVideo,new,2026-06-29,2026-06-29,True,26,0,26
AR02289573295139323905,Keyaro Edutech Private Limited,CR02919244130984919041,YouTubeVideo,new,2026-06-29,2026-06-29,True,27,0,27
AR02289573295139323905,Keyaro Edutech Private Limited,CR03138283133753884673,YouTubeVideo,new,2026-06-29,2026-06-29,True,28,0,28
AR02289573295139323905,Keyaro Edutech Private Limited,CR03244548596116226049,YouTubeVideo,new,2026-06-29,2026-06-29,True,29,0,29
AR02289573295139323905,Keyaro Edutech Private Limited,CR03309923470149681153,Unknown,new,2026-06-29,2026-06-29,True,30,0,30
AR02289573295139323905,Keyaro Edutech Private Limited,CR03364486141972578305,YouTubeVideo,new,2026-06-29,2026-06-29,True,31,0,31
AR02289573295139323905,Keyaro Edutech Private Limited,CR03415376530858049537,YouTubeVideo,new,2026-06-29,2026-06-29,True,32,0,32
AR02289573295139323905,Keyaro Edutech Private Limited,CR04736177243229782017,YouTubeVideo,new,2026-06-29,2026-06-29,True,33,0,33
AR02289573295139323905,Keyaro Edutech Private Limited,CR05242160631632625665,YouTubeVideo,new,2026-06-29,2026-06-29,True,34,0,34
AR02289573295139323905,Keyaro Edutech Private Limited,CR05291254100690731009,YouTubeVideo,new,2026-06-29,2026-06-29,True,35,0,35
AR02289573295139323905,Keyaro Edutech Private Limited,CR05334922510657912833,YouTubeVideo,new,2026-06-29,2026-06-29,True,36,0,36
AR02289573295139323905,Keyaro Edutech Private Limited,CR05355198647535403009,YouTubeVideo,new,2026-06-29,2026-06-29,True,37,0,37
AR02289573295139323905,Keyaro Edutech Private Limited,CR05421305341046423553,YouTubeVideo,new,2026-06-29,2026-06-29,True,38,0,38
AR02289573295139323905,Keyaro Edutech Private Limited,CR05475784862302470145,YouTubeVideo,new,2026-06-29,2026-06-29,True,39,0,39
AR02289573295139323905,Keyaro Edutech Private Limited,CR05827657419601215489,YouTubeVideo,new,2026-06-29,2026-06-29,True,40,0,40
AR02289573295139323905,Keyaro Edutech Private Limited,CR05844354147914088449,YouTubeVideo,new,2026-06-29,2026-06-29,True,41,0,41
AR02289573295139323905,Keyaro Edutech Private Limited,CR05856975278680571905,YouTubeVideo,new,2026-06-29,2026-06-29,True,42,0,42
AR02289573295139323905,Keyaro Edutech Private Limited,CR05891505535840157697,YouTubeVideo,new,2026-06-29,2026-06-29,True,43,0,43
AR02289573295139323905,Keyaro Edutech Private Limited,CR06309566519877566465,YouTubeVideo,new,2026-06-29,2026-06-29,True,44,0,44
AR02289573295139323905,Keyaro Edutech Private Limited,CR06325611967939608577,YouTubeVideo,new,2026-06-29,2026-06-29,True,45,0,45
